C++,1179770
Python,615872
PyPy,273712
Java,238806
C#,128465
Ruby,127558
C,114936
Rust,98146
Go,61884
Haskell,38345
Kotlin,30247
D,23165
JavaScript,22918
PHP,21510
Nim,15421
Scala,15041
Fortran,9802
OCaml,9346
Common Lisp,8447
Perl,8284
Julia,7768
Bash,7038
Awk,6254
Pascal,6098
Swift,5926
Text,5213
TypeScript,4522
F#,4364
Crystal,4184
Brainfuck,4176
Scheme,3811
Lua,3611
dc,2936
Sed,2058
Cython,2057
bc,1404
Octave,1393
Objective-C,1359
Visual Basic,1348
LuaJIT,1163
Perl6,913
Vim,757
COBOL - Free,554
Clojure,546
Standard ML,504
Elixir,494
IOI-Style C++,477
Raku,408
Unlambda,350
Prolog,338
MoonScript,321
Dart,290
Ada,191
Zsh,187
COBOL - Fixed,157
Ceylon,152
Haxe; Java,71
Erlang,67
Dash,53
Racket,52
Haxe; js,22
Forth,18
